Time,a,b,c,d
08/09 11:48:34,11,0,57,3
Time,a,b,c,d
08/09 15:25:09,15,18,15,0
Time,a,b,c,d
08/09 15:25:47,15,18,16,0
Time,a,b,c,d
08/09 15:26:17,6,20,11,0
Time,a,b,c,d
08/09 15:27:20,6,21,10,0
Time,a,b,c,d
08/09 15:28:54,3,17,1,0
Time,a,b,c,d
08/09 15:29:17,3,17,1,0
Time,a,b,c,d
08/09 15:30:33,0,21,0,0
