Time,a,b,c,d
07/23 16:00:08,0,0,3,0
Time,a,b,c,d
07/24 10:07:32,0,0,1,0
Time,a,b,c,d
07/24 10:09:34,0,0,1,0
Time,a,b,c,d
07/24 10:12:56,0,0,1,0
Time,a,b,c,d
07/24 10:15:05,0,0,1,0
Time,a,b,c,d
07/24 10:20:13,0,0,2,0
Time,a,b,c,d
07/24 10:22:44,0,0,2,0
Time,a,b,c,d
07/24 10:32:21,0,0,16,1
Time,a,b,c,d
07/24 10:59:24,19,1,22,8
Time,a,b,c,d
07/24 11:01:50,10,1,20,5
Time,a,b,c,d
07/24 11:08:27,8,1,11,6
Time,a,b,c,d
07/24 11:11:24,0,1,14,0
Time,a,b,c,d
07/24 11:18:23,0,1,14,0
Time,a,b,c,d
07/24 13:39:23,0,1,14,0
Time,a,b,c,d
07/24 14:18:13,13,0,0,0
Time,a,b,c,d
07/24 14:44:48,2,0,3,8
Time,a,b,c,d
07/26 13:35:47,0,1,0,0
Time,a,b,c,d
07/26 13:48:51,2,0,3,8
Time,a,b,c,d
07/26 14:04:34,0,1,0,0
Time,a,b,c,d
07/26 14:05:39,5,0,0,0
Time,a,b,c,d
07/26 14:05:57,0,0,1,0
Time,a,b,c,d
07/26 14:06:12,0,1,0,0
Time,a,b,c,d
07/26 14:08:33,1,0,0,0
Time,a,b,c,d
07/26 14:09:09,1,0,1,1
Time,a,b,c,d
07/26 14:09:49,0,2,0,0
Time,a,b,c,d
07/26 14:10:06,2,1,0,0
Time,a,b,c,d
07/26 14:11:06,2,0,0,0
Time,a,b,c,d
07/26 14:16:31,0,0,2,0
Time,a,b,c,d
07/26 15:11:40,0,0,0,0
Time,a,b,c,d
07/26 15:15:50,2,0,16,16
Time,a,b,c,d
07/26 15:19:51,2,0,0,0
Time,a,b,c,d
07/26 15:21:03,2,0,0,0
Time,a,b,c,d
07/26 15:21:51,18,0,7,9
Time,a,b,c,d
07/26 15:27:36,0,0,7,9
Time,a,b,c,d
07/26 15:32:32,3,3,0,0
Time,a,b,c,d
07/26 15:32:42,0,0,0,0
Time,a,b,c,d
07/26 15:33:22,1,0,0,0
Time,a,b,c,d
07/26 15:36:48,0,0,1,0
Time,a,b,c,d
07/26 15:37:06,1,0,0,0
Time,a,b,c,d
07/26 15:37:56,2,0,16,16
Time,a,b,c,d
07/26 15:43:09,9,2,0,1
Time,a,b,c,d
07/26 15:45:16,9,2,0,1
Time,a,b,c,d
07/26 15:45:43,9,2,0,1
Time,a,b,c,d
07/26 15:45:43,1,0,0,0
Time,a,b,c,d
07/26 15:45:44,0,0,1,0
Time,a,b,c,d
07/26 15:45:44,1,0,0,0
Time,a,b,c,d
07/26 15:45:54,8,3,0,0
Time,a,b,c,d
07/26 15:45:54,1,0,0,0
Time,a,b,c,d
07/26 15:45:55,1,0,1,0
Time,a,b,c,d
07/26 15:45:56,0,1,0,0
Time,a,b,c,d
07/26 15:45:56,0,1,0,0
Time,a,b,c,d
07/26 15:45:57,1,0,0,0
Time,a,b,c,d
07/26 15:45:58,0,1,0,0
Time,a,b,c,d
