Time,a,b,c,d
07/31 17:22:28,0,2,0,0
07/31 17:24:52,0,2,0,0
07/31 17:26:43,0,2,0,0
07/31 17:28:25,0,6,0,0
08/01 10:34:21,0,17,0,0
08/01 10:45:26,1,48,0,0
08/01 11:11:21,1,48,0,0
08/01 11:12:55,1,48,0,0
08/01 11:31:23,1,48,0,0
